id,author,title,doi,country,indicator,tools,nature_type,exposure_type,study_design,season,n_participants,gender_group,age_group
3869,Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,10.3390/ijerph16214279,Japan,"Anxiety; Depression; Mood; Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS; STAI,Greenspace - Park,Stay static in nature,RCT - crossover,Spring; Summer,24,Gender Balance,Older adults
3878,Pratiwi 2020,"Physiological and Psychological Effects of Walking in Urban Parks and Its Imagery in Different Seasons in Middle-Aged and Older Adults: Evidence from Matsudo City, Japan",10.3390/su12104003,Japan,"Anxiety; Depression; Mood; anger-hostility,  fatigue-inertia,  confusion-bewilderment, vigor-activity",POMS; STAI,Greenspace - Park,Physical activity in nature,RCT - parallel,Spring; Summer; Winter,12,Female > 60%,Older adults
3927,Deng 2020,"Empirical study of landscape types, landscape elements and landscape components of the urban park promoting physiological and psychological restoration",10.1016/j.ufug.2019.126488,China,Mood; Restorative effects,POMS,Greenspace - Forest; Greenspace - Grassland; Bluespace - Open water,Stay static in nature,RCT - parallel,Fall,60,Gender Balance,Young adults
4004,Triguero-Mas 2017,The effect of randomised exposure to different types of natural outdoor environments compared to exposure to an urban environment on people with indications of psychological distress in Catalonia,10.1371/journal.pone.0172200,Spain,Mood,POMS,Greenspace - Park; Bluespace - Beach/coastline,Visit,RCT - crossover,Fall; Winter,26,Gender Balance,NA
5878,Li 2022,"Effects of forest bathing (shinrin-yoku) on serotonin in serum, depressive symptoms and subjective sleep quality in middle-aged males",10.1265/ehpm.22-00136,Japan,"Mood; fatigue, vigor",POMS,Greenspace - Forest,Physical activity in nature,RCT - parallel,Summer,20,Male > 60%,Adults
5959,Yu 2017,Effects of Short Forest Bathing Program on Autonomic Nervous System Activity and Mood States in Middle-Aged and Elderly Individuals,10.3390/ijerph14080897,Taiwan,"Anxiety; Depression; Mood; anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest,Physical activity in nature,Non-randomised experimental study,Summer,128,Female > 60%,Adults
6523,Park 2011,Relationship between psychological responses and physical environments in forest settings,10.1016/j.landurbplan.2011.03.005,Japan,"Mental distress; Anxiety; Depression; Mood; Anger-hostility, Vigor, Confusion, Fatigue",POMS,Greenspace - Forest,Stay static in nature; Physical activity in nature,RCT - parallel,Spring; Summer; Fall; Winter,168,Male > 60%,Young adults
6599,Ochiai 2015,Physiological and Psychological Effects of Forest Therapy on Middle-Aged Males with High-Normal Blood Pressure,10.3390/ijerph120302532,Japan,"Anxiety; Depression; Mood; confusion, anger-hostility, fatigue, vigor",POMS,Greenspace - Forest,Physical activity in nature,Quasi-experimental study,Fall,8,Male > 60%,Adults
6686,Song 2019,Physiological and Psychological Effects of Viewing Forests on Young Women,10.3390/f10080635,Japan,"Anxiety; Depression; Mood; anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest,Stay static in nature,RCT - crossover,Summer; Fall,72,Female > 60%,Young adults
7199,Song 2018,Psychological Benefits of Walking through Forest Areas,10.3390/ijerph15122804,Japan,"Anxiety; Depression; Mood; anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest,Physical activity in nature,RCT - parallel,NA,585,Male > 60%,Young adults
7315,Joung 2015,The Prefrontal Cortex Activity and Psychological Effects of Viewing Forest Landscapes in Autumn Season,10.3390/ijerph120707235,South Korea,"Anxiety; Depression; Mood; Anger, hostility, Vigor, Fatigue, Confusion",POMS,Greenspace - Forest,Stay static in nature,RCT - parallel,NA,8,Gender Balance,Young adults
7390,Song 2019,Effects of Walking in a Forest on Young Women,10.3390/ijerph16020229,Japan,"Anxiety; Depression; Mood; anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest,Physical activity in nature,RCT - crossover,NA,60,Female > 60%,Young adults
7432,Kobayashi 2021,Comparing the impact of forest walking and forest viewing on psychological states,10.1016/j.ufug.2020.126920,Japan,Mood,POMS,Greenspace - Forest,Stay static in nature; Physical activity in nature,RCT - parallel,NA,57,Female > 60%,Young adults
7446,Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,10.3390/ijerph16244991,China,"Anxiety; Depression; Mood; anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS,Greenspace - Forest,Physical activity in nature,RCT - parallel,Fall,60,Male > 60%,Young adults
7534,Igarashi 2015,Physiological and Psychological Effects of Viewing a Kiwifruit (Actinidia deliciosa 'Hayward') Orchard Landscape in Summer in Japan,10.3390/ijerph120606657,Japan,Mood; subjective perception,POMS,Greenspace - Farmland,Stay static in nature,RCT - crossover,Summer,17,Female > 60%,Adults
876,Chalmin-Pui 2021,"""It made me feel brighter in myself""- The health and well-being impacts of a residential front garden horticultural intervention",10.1016/j.landurbplan.2020.103958,UK,Stress; subjective well-being,PSS,Greenspace - Garden,Physical activity in nature,Non-randomised experimental study,Spring,42,Female > 60%,NA
2332,Payne 2020,The Restorative Effect of the Natural Environment on University Students' Psychological Health,10.1155/2020/4210285,Australia,Life satisfaction; Stress; Burnout,PSS,Greenspace,Stay static in nature,RCT - parallel,NA,200,Female > 60%,Adults
3201,Wolf 2017,Young adult conservation jobs and worker health,10.1080/09640568.2016.1262833,United States,Stress,PSS,Greenspace; Bluespace - Open water,Residential; Physical activity in nature,Uncontrolled before-after study,Fall,289,Gender Balance,Young adults
2648,Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,10.3390/ijerph182212224,China,Mental wellbeing in general*; Restorative effects; Vitality,ROS; SVS,Greenspace - Forest,Stay static in nature; Physical activity in nature,RCT - parallel,Summer,30,Gender Balance,Young adults
2815,Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,10.1016/j.healthplace.2018.11.004,Finland,Mental distress; Restorative effects,ROS; SVS,Greenspace - Forest; Greenspace - Park,Stay static in nature; Physical activity in nature,RCT - parallel,Spring; Summer; Fall,83,Female > 60%,Adults
3122,Jones 2021,Psycho-physiological responses of repeated exposure to natural and urban environments,10.1016/j.landurbplan.2021.104061,UK,Cognitive functioning; Mood; Restorative effects,ROS,Greenspace - Park,Physical activity in nature,Non-randomised experimental study,Summer; Fall,41,Gender Balance,NA
3323,Menzel 2020,Feeling Stressed and Ugly? Leave the City and Visit Nature! An Experiment on Self- and Other-Perceived Stress and Attractiveness Levels,10.3390/ijerph17228519,Germany,Affect; Restorative effects; Stress,ROS,Greenspace - Forest,Physical activity in nature,RCT - parallel,Spring,21,Male > 60%,Young adults
3742,Pasanen 2018,"Can Nature Walks With Psychological Tasks Improve Mood, Self-Reported Restoration, and Sustained Attention? Results From Two Experimental Field Studies",10.3389/fpsyg.2018.02057,Finland,Mood; Restorative effects; Sustained attention,ROS,Greenspace - Park,Physical activity in nature,RCT - parallel,NA,119,Female > 60%,Adults
1932,Flowers 2022,People with the least positive attitudes to green exercise derive most anxiolytic benefit from walking in green space,10.1016/j.ufug.2022.127587,Australia,Anxiety,STAI,Greenspace,Physical activity in nature,RCT - parallel,Spring; Summer,22,Gender Balance,Young adults
5934,Hassan 2018,Effects of Walking in Bamboo Forest and City Environments on Brainwave Activity in Young Adults,10.1155/2018/9653857,China,Anxiety; Mood,STAI,Greenspace - Forest,Physical activity in nature,RCT - crossover,NA,60,Gender Balance,Young adults
6787,Shin 2013,Differences of psychological effects between meditative and athletic walking in a forest and gymnasium,10.1080/02827581.2012.706634,South Korea,Anxiety; Happiness; Self-esteem,STAI,Greenspace - Forest,Physical activity in nature,RCT - parallel,Fall,140,Female > 60%,Young adults
